sample,total_sequencing_size,total_reads,strategy,assembly,assembly_num_seqs,assembly_sum_len,assembly_min_len,assembly_avg_len,assembly_max_len,msp_count,gene_count,N50,L50,NA50,auNA,LA50,(N50-NA50)/N50,(L50-LA50)/L50
SAMEA2466923,10000002850,2276682,LR,LR (metaflye),866,77229333,1044,89179.4,1564423,98,267264,240029,76,233925,371281.3,78,0.0254302605101883,-0.0263157894736842
SAMEA2466923,10000000200,66666668,SR,SR (megahit),22501,151752768,1000,6744.3,1234659,98,267264,40715,704,33176,82127.8,866,0.1851651725408326,-0.2301136363636363
SAMEA2466930,10000002292,34471053,Hybrid,Hybrid (hybridspades),37660,295577810,1000,7848.6,2254229,237,511203,31085,1271,23482,129219.9,2052,0.2445874215859739,-0.6144767899291896
SAMEA2466930,10000001775,2276335,LR,LR (metaflye),2163,199132815,1640,92063.3,1736682,237,511203,139733,298,29185,208374.1,744,0.7911373834384147,-1.496644295302013
SAMEA2466930,10000000200,66666668,SR,SR (megahit),58370,333662125,1000,5716.3,1064645,237,511203,25808,2017,17723,61943.8,3025,0.3132749535027898,-0.4997521070897372
SAMEA2466959,10000006086,34472190,Hybrid,Hybrid (hybridspades),34885,272279717,1000,7805.1,2570118,258,533716,23246,1612,18742,76764.0,2544,0.1937537640884453,-0.5781637717121588
SAMEA2466959,10000013193,2277686,LR,LR (metaflye),2564,110426385,1088,43068.0,1719494,258,533716,74329,337,71129,189674.8,349,0.0430518371026113,-0.0356083086053412
SAMEA2466959,10000000200,66666668,SR,SR (megahit),56209,290192785,1000,5162.7,1648166,258,533716,15857,2408,12699,49274.7,3498,0.1991549473418679,-0.4526578073089701
SAMEA2466965,10000001449,34471718,Hybrid,Hybrid (hybridspades),29696,303397935,1000,10216.8,2606229,188,503118,38026,1275,29422,99081.3,1995,0.2262662388891811,-0.5647058823529412
SAMEA2466965,10000001969,2275539,LR,LR (metaflye),2790,262232475,1076,93990.1,1745379,188,503118,131142,486,18204,148471.2,1453,0.861188635219838,-1.989711934156379
SAMEA2466965,10000000200,66666668,SR,SR (megahit),42848,324238603,1000,7567.2,1064696,188,503118,30243,2040,23229,52024.8,2872,0.2319214363654399,-0.4078431372549019
SAMEA2466974,10000004131,34471867,Hybrid,Hybrid (hybridspades),28970,250971020,1000,8663.1,2476493,231,483115,38163,900,27330,115937.7,1585,0.2838613316563163,-0.7611111111111111
SAMEA2466974,10000003117,2277712,LR,LR (metaflye),1876,94762836,1098,50513.2,1719498,231,483115,84496,228,82965,199465.4,241,0.0181192009089187,-0.0570175438596491
SAMEA2466974,10000000200,66666668,SR,SR (megahit),49201,277442994,1000,5639.0,868584,231,483115,26262,1517,18921,62245.1,2336,0.2795293580077679,-0.5398813447593935
SAMEA2466977,10000002131,34471199,Hybrid,Hybrid (hybridspades),31285,286928492,1000,9171.4,3688920,206,511367,40718,1059,29236,110942.8,1735,0.2819883098384007,-0.6383380547686497
SAMEA2466977,10000003031,2274649,LR,LR (metaflye),2531,111980803,1012,44243.7,1719495,206,511367,79561,295,74941,215710.8,313,0.0580686517263483,-0.0610169491525423
SAMEA2466977,10000000200,66666668,SR,SR (megahit),51394,312138414,1000,6073.4,1958296,206,511367,28373,1709,19307,61622.0,2623,0.3195291298065061,-0.534815681685196
SAMEA2466984,10000001301,34472100,Hybrid,Hybrid (hybridspades),34643,327826185,1000,9463.0,2473790,276,532560,42216,1084,27938,97771.3,2081,0.3382129998104984,-0.9197416974169742
SAMEA2466984,10000002497,2277038,LR,LR (metaflye),3226,129623220,1133,40180.8,1719502,276,532560,71276,404,69627,163092.8,418,0.0231354172512486,-0.0346534653465346
SAMEA2466984,10000000200,66666668,SR,SR (megahit),55446,352513945,1000,6357.8,918422,276,532560,36569,1571,23914,65867.8,2615,0.3460581366731384,-0.6645448758752387
SAMEA2467013,10000006032,34472195,Hybrid,Hybrid (hybridspades),35224,321553866,1000,9128.8,3140707,218,540760,34684,1336,26627,110828.0,2060,0.2322973128820205,-0.5419161676646707
SAMEA2467013,10000000722,2278705,LR,LR (metaflye),2906,135748907,1033,46713.3,1608778,218,540760,93150,296,88124,246247.6,313,0.0539559849704777,-0.0574324324324324
SAMEA2467013,10000000200,66666668,SR,SR (megahit),60421,343532874,1000,5685.7,1572220,218,540760,21506,2315,17485,58265.4,3142,0.1869710778387426,-0.3572354211663067
SAMEA2467016,10000001585,34472570,Hybrid,Hybrid (hybridspades),28599,279383819,1000,9769.0,3336582,198,481850,41429,950,29187,143987.1,1650,0.2954934948948804,-0.7368421052631579
